法人名稱,違規次數,主要主管機關,最近公告,排除理由,產業推測,需人工判斷
南山人壽保險股份有限公司,208,桃園市,20260814,,金融/保險,True
家福股份有限公司,114,桃園市,20250916,,其他,True
國光汽車客運股份有限公司,78,新北市,20260514,,客運/運輸,True
台灣宅配通股份有限公司,69,桃園市,20260311,,客運/運輸,True
交通部台灣鐵路管理局,65,基隆市,20240110,,客運/運輸,True
桃園汽車客運股份有限公司,61,桃園市,20260709,,客運/運輸,True
強固保全股份有限公司,60,桃園市,20260311,保全/物業/清潔,其他,False
嘉賀保全股份有限公司,58,台北市,20260812,保全/物業/清潔,其他,False
東京都保全股份有限公司,57,新北市,20260615,保全/物業/清潔,其他,False
先鋒保全股份有限公司,54,高雄市,20260814,保全/物業/清潔,其他,False
台灣中油股份有限公司,51,高雄市,20260410,,其他,True
嘉里大榮物流股份有限公司,50,桃園市,20260408,,客運/運輸,True
花蓮汽車客運股份有限公司,49,花蓮縣,20250307,,客運/運輸,True
基隆汽車客運股份有限公司,48,新北市,20260814,,客運/運輸,True
中華電信股份有限公司,47,台北市,20260815,,電信/媒體/科技,True
中華航空股份有限公司,47,桃園市,20260812,,客運/運輸,True
台灣士瑞克保全股份有限公司,44,桃園市,20260610,保全/物業/清潔,其他,False
光泉食品股份有限公司,44,桃園市,20260812,,餐飲/旅宿,True
全球人壽保險股份有限公司,43,台北市,20260715,,金融/保險,True
國興保全股份有限公司,43,桃園市,20260815,保全/物業/清潔,其他,False
長榮航空股份有限公司,42,桃園市,20260709,,客運/運輸,True
台灣怡和保全股份有限公司,40,國家科學及技術委員會新竹科學園區,20260814,保全/物業/清潔,其他,False
全聯實業股份有限公司,39,台北市,20260513,,零售/量販/超商,True
龍邦保全股份有限公司,37,台南市,20260710,保全/物業/清潔,其他,False
威合股份有限公司,35,台北市,20260611,,其他,True
巨龍保全股份有限公司,35,桃園市,20260715,保全/物業/清潔,其他,False
台灣積體電路製造股份有限公司,35,科技部新竹科學園區,20260401,,其他,True
路易威鐙保全股份有限公司,35,台北市,20260713,保全/物業/清潔,其他,False
新竹物流股份有限公司,34,台南市,20260206,,客運/運輸,True
台業保全股份有限公司,34,新北市,20260615,保全/物業/清潔,其他,False
山隆通運股份有限公司,34,宜蘭縣,20260210,,客運/運輸,True
誼光保全股份有限公司,33,台北市,20250910,保全/物業/清潔,其他,False
國聯保全股份有限公司,33,新北市,20260815,保全/物業/清潔,其他,False
富利餐飲股份有限公司,33,桃園市,20260710,,餐飲/旅宿,True
天鷹保全股份有限公司,33,台北市,20260815,保全/物業/清潔,其他,False
指南汽車客運股份有限公司,32,台北市,20260213,,客運/運輸,True
豐達保全股份有限公司,32,新北市,20260213,保全/物業/清潔,其他,False
台灣富士全錄股份有限公司,32,台北市,20200205,,其他,True
西北保全股份有限公司,32,桃園市,20260814,保全/物業/清潔,其他,False
敬鵬工業股份有限公司,32,桃園市,20260113,,其他,True
萊爾富國際股份有限公司,31,台北市,20260814,,其他,True
全家便利商店股份有限公司,31,台北市,20260715,,其他,True
香港商世界健身事業有限公司,31,桃園市,20260107,,其他,True
富鄰保全股份有限公司,31,桃園市,20240802,保全/物業/清潔,其他,False
寶雅國際股份有限公司,30,桃園市,20260211,,其他,True
亞東保全股份有限公司,30,台北市,20260814,保全/物業/清潔,其他,False
味全食品工業股份有限公司,29,新北市,20260310,,餐飲/旅宿,True
日月光半導體製造股份有限公司,29,加工出口區管理處,20251203,,電信/媒體/科技,True
統聯汽車客運股份有限公司,29,新北市,20260710,,客運/運輸,True
府城汽車客運股份有限公司,28,台南市,20260210,,客運/運輸,True
中華紙漿股份有限公司,28,花蓮縣,20260306,,其他,True
宏華國際股份有限公司,28,桃園市,20260610,,其他,True
中興大業巴士股份有限公司,28,台北市,20260508,,其他,True
全國電子股份有限公司,28,新北市,20251210,,電信/媒體/科技,True
饗賓餐旅事業股份有限公司,28,桃園市,20260410,,其他,True
聯安保全股份有限公司,27,新北市,20260513,保全/物業/清潔,其他,False
萬安保全股份有限公司,27,國家科學及技術委員會新竹科學園區,20250310,保全/物業/清潔,其他,False
良福保全股份有限公司,26,桃園市,20260209,保全/物業/清潔,其他,False
楠梓電子股份有限公司,26,產業園區管理局,20250408,,電信/媒體/科技,True
捷順保全股份有限公司,26,花蓮縣,20251111,保全/物業/清潔,其他,False
惠康百貨股份有限公司,26,台北市,20230217,,零售/量販/超商,True
齊家保全股份有限公司,25,桃園市,20251110,保全/物業/清潔,其他,False
震宇保全股份有限公司,25,桃園市,20260513,保全/物業/清潔,其他,False
美德耐股份有限公司,25,台北市,20260710,,其他,True
台灣屈臣氏個人用品商店股份有限公司,25,新北市,20250815,,其他,True
大成長城企業股份有限公司,25,台南市,20260810,,其他,True
萬安國際保全股份有限公司,24,台南市,20260814,保全/物業/清潔,其他,False
英業達股份有限公司,24,桃園市,20251205,,其他,True
伯克錸保全股份有限公司,24,新北市,20260213,保全/物業/清潔,其他,False
台灣順豐速運股份有限公司,24,台北市,20260710,,其他,True
雲雀國際股份有限公司,24,桃園市,20260709,,其他,True
萬洲化學股份有限公司,24,桃園市,20260513,,其他,True
誠鷹特勤保全股份有限公司,24,桃園市,20251106,保全/物業/清潔,其他,False
欣興電子股份有限公司,24,桃園市,20260812,,電信/媒體/科技,True
台灣卜蜂企業股份有限公司,23,南投縣,20260323,,其他,True
台灣善商股份有限公司,23,台北市,20260210,,其他,True
台灣電力股份有限公司,23,高雄市,20251208,,公部門/國營,True
元大商業銀行股份有限公司,23,台北市,20240905,,金融/保險,True
國雲保全股份有限公司,22,高雄市,20250528,保全/物業/清潔,其他,False
國強保全股份有限公司,22,桃園市,20260710,保全/物業/清潔,其他,False
中南海保全股份有限公司,22,高雄市,20260209,保全/物業/清潔,其他,False
宜蘭食品工業股份有限公司,22,宜蘭縣,20260409,,餐飲/旅宿,True
富通保全股份有限公司,22,桃園市,20241018,保全/物業/清潔,其他,False
寶馨實業股份有限公司,22,桃園市,20250107,,零售/量販/超商,True
千山淨水股份有限公司,21,桃園市,20260513,,其他,True
