法人名稱,違規次數,縣市數,縣市分布,期間,常見違規
山隆通運股份有限公司,34,13,宜蘭縣(7)、新北市(5)、基隆市(3)、南投縣(3)、苗栗縣(3)、高雄市(3)、桃園市(3)、雲林縣(2)、彰化縣(1)、台中市(1)、台南市(1)、花蓮縣(1)、新竹縣(1),201607~202602,延長工作時間未依規定加給工資；延長工作時間超過法令規定
宏華國際股份有限公司,28,13,桃園市(4)、台北市(4)、基隆市(3)、台南市(2)、新北市(2)、雲林縣(2)、宜蘭縣(2)、花蓮縣(2)、新竹縣(2)、高雄市(2)、澎湖縣(1)、南投縣(1)、苗栗縣(1),201507~202606,延長工作時間超過法令規定；延長工作時間未依規定加給工資
威合股份有限公司,35,10,台北市(12)、桃園市(6)、高雄市(5)、台南市(3)、嘉義市(3)、新北市(2)、屏東縣(1)、基隆市(1)、國家科學及技術委員會中部科學園區(1)、雲林縣(1),201503~202606,延長工作時間未依規定加給工資；未依規定給予特別休假
富利餐飲股份有限公司,33,9,桃園市(9)、台北市(6)、台南市(4)、基隆市(4)、新北市(3)、高雄市(3)、台中市(2)、花蓮縣(1)、新竹縣(1),201609~202607,出勤紀錄未逐日記載勞工出勤情形至分鐘為止；延長工作時間未依規定加給工資
和德昌股份有限公司,19,8,桃園市(9)、新北市(2)、基隆市(2)、台南市(2)、台中市(1)、屏東縣(1)、高雄市(1)、台北市(1),201905~202607,延長工作時間未依規定加給工資；雇主使勞工繼續工作四小時未給與至少30分鐘之休息，且無本法第三十五條但書情形
台灣善商股份有限公司,23,7,台北市(10)、桃園市(6)、新北市(3)、基隆市(1)、台中市(1)、宜蘭縣(1)、新竹市(1),201610~202602,延長工作時間超過法令規定；勞工繼續工作四小時未給予至少三十分鐘之休息
美德耐股份有限公司,25,5,台北市(11)、台南市(7)、新北市(5)、基隆市(1)、彰化縣(1),201303~202607,延長工作時間未依規定加給工資；勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資
三商行股份有限公司,20,5,桃園市(8)、台北市(7)、台南市(2)、基隆市(2)、高雄市(1),201404~201912,延長工作時間未依規定加給工資；未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日
五花馬國際行銷股份有限公司,16,5,新北市(4)、台南市(4)、新竹市(3)、桃園市(3)、台北市(2),201605~202604,延長工作時間未依規定加給工資；
笑笑笑國際股份有限公司,14,5,基隆市(5)、桃園市(4)、台北市(2)、高雄市(2)、台中市(1),201205~202608,未依規定給予特別休假；未依法定程序延長工作時間
星裕國際股份有限公司,12,4,台北市(5)、桃園市(5)、新北市(1)、台中市(1),201602~202601,延長工作時間未依規定加給工資；未依規定給予特別休假
黑浮國際餐飲有限公司,10,4,高雄市(5)、台南市(3)、新竹縣(1)、台中市(1),201612~202510,假日工資未給或於休假日工作未依規定加給工資；拒絕、規避或阻撓勞工檢查員依法執行職務。
朝陽富元教育股份有限公司,17,3,桃園市(13)、台中市(3)、台南市(1),201911~202605,工資未全額直接給付勞工；未發給因年度終結或契約終止特休未休日數之工資
北基國際股份有限公司,10,3,新北市(6)、高雄市(2)、桃園市(2),202005~202602,延長工作時間超過法令規定；延長工作時間未依規定加給工資
裕利股份有限公司,17,2,桃園市(10)、台北市(7),201601~202407,延長工作時間超過法令規定；延長工作時間未依規定加給工資
河邊股份有限公司,15,2,高雄市(13)、科技部南部科學工業園區(2),201503~202312,延長工作時間未依規定加給工資；工資未全額直接給付勞工
大無限健康事業股份有限公司,11,2,桃園市(10)、台中市(1),202408~202607,工資未全額直接給付勞工；未依規定訂立工作規則或未將工作規則報請當地主管機關核備或未將核備後之工作規則公開揭示之
樹籽股份有限公司,11,1,桃園市(11),201805~202601,延長工作時間未依規定加給工資；未依規定訂立工作規則或未將工作規則報請當地主管機關核備或未將核備後之工作規則公開揭示之
豐隆大飯店股份有限公司,11,1,台北市(11),201406~202603,延長工作時間超過法令規定；延長工作時間未依規定加給工資
天廬育樂事業股份有限公司,10,1,南投縣(10),201903~202604,延長工作時間未依規定加給工資；拒絕、規避或阻撓勞工檢查員依法執行職務
